Start_station_id,start_station_name,Male_Start_Trip,Female_Start_Trip,Male_End_Trip,Female_End_Trip
74,Laguna St at Hayes St,3535,1133,3535,1133
74,Steuart at Market,0,0,0,0
75,Market St at Franklin St,3626,896,3626,896
75,Mechanics Plaza (Market at Battery),0,0,0,0
76,Market at 4th,0,0,0,0
76,McCoppin St at Valencia St,3889,1155,3889,1155
77,11th St at Natoma St,3103,597,3103,597
77,Market at Sansome,0,0,0,0
78,Folsom St at 9th St,2122,953,2122,953
79,7th St at Brannan St,4320,968,4320,968
80,San Jose Government Center,0,0,0,0
80,Santa Clara County Civic Center,0,0,0,0
80,Townsend St at 5th St,3376,763,3376,763
81,Berry St at 4th St,14224,4307,14224,4307
82,Broadway St at Battery St,0,0,0,0
83,Mezes,0,0,0,0
83,Mezes Park,0,0,0,0
84,Duboce Park,2928,495,2928,495
84,Ryland Park,0,0,0,0
85,Church St at Duboce Ave,2723,823,2723,823
86,Market St at Dolores St,3954,880,3954,880
88,11th St at Bryant St,3111,527,3111,527
88,5th S at E. San Salvador St,0,0,0,0
88,5th St at E. San Salvador St,0,0,0,0
89,Division St at Potrero Ave,3513,748,3513,748
89,S. Market St at Park Ave,0,0,0,0
90,5th St at Folsom St,0,0,0,0
90,Townsend St at 7th St,8399,2353,8399,2353
91,Cyril Magnin St at Ellis St,0,0,0,0
93,4th St at Mission Bay Blvd S,5431,1952,5431,1952
95,Sanchez St at 15th St,2224,646,2224,646
96,Dolores St at 15th St,3238,739,3238,739
97,14th St at Mission St,2975,741,2975,741
98,Valencia St at 16th St,4762,1222,4762,1222
99,Folsom St at 15th St,2273,583,2273,583
100,Bryant St at 15th St,2065,612,2065,612
101,San Bruno Ave at 16th St,1372,226,1372,226
102,Irwin St at 8th St,948,703,948,703
105,16th St at Prosper St,1836,424,1836,424
106,Sanchez St at 17th St,1343,382,1343,382
107,17th St at Dolores St,1769,592,1769,592
108,16th St Mission BART,1685,485,1685,485
109,17th St at Valencia St,3634,950,3634,950
110,17th & Folsom Street Park (17th St at Folsom St),1217,556,1217,556
112,Harrison St at 17th St,2626,1040,2626,1040
113,Franklin Square,1598,480,1598,480
114,Rhode Island St at 17th St,3631,1175,3631,1175
115,Jackson Playground,2127,685,2127,685
116,Mississippi St at 17th St,2442,1009,2442,1009
118,Eureka Valley Recreation Center,933,252,933,252
119,18th St at Noe St,2510,614,2510,614
120,Mission Dolores Park,2456,865,2456,865
121,Mission Playground,3346,966,3346,966
122,19th St at Mission St,1903,538,1903,538
123,Folsom St at 19th St,2141,761,2141,761
124,19th St at Florida St,2079,523,2079,523
125,20th St at Bryant St,2119,726,2119,726
126,Esprit Park,3505,1226,3505,1226
127,Valencia St at 21st St,2795,963,2795,963
129,Harrison St at 20th St,2620,844,2620,844
130,22nd St Caltrain Station,2300,547,2300,547
131,Dolores St at 22nd St,31,3,31,3
132,24th St at Chattanooga St,1886,478,1886,478
133,Valencia St at 22nd St,2579,855,2579,855
134,Valencia St at 24th St,4609,2180,4609,2180
137,Jersey St at Castro St,1875,660,1875,660
138,Jersey St at Church St,848,473,848,473
139,Garfield Square (25th St at Harrison St),1325,657,1325,657
140,Cesar Chavez St at Dolores St,421,344,421,344
141,Valencia St at Cesar Chavez St,2183,857,2183,857
144,Precita Park,1629,859,1629,859
145,29th St at Church St,1755,663,1755,663
146,30th St at San Jose Ave,881,232,881,232
147,29th St at Tiffany Ave,1862,718,1862,718
148,Horton St at 40th St,697,307,697,307
149,Emeryville Town Hall,561,206,561,206
150,Adeline St at 40th St,626,253,626,253
151,53rd St at Hollis St,212,28,212,28
152,47th St at San Pablo Ave,407,91,407,91
153,59th St at Horton St,504,103,504,103
154,Doyle St at 59th St,245,273,245,273
155,Emeryville Public Market,115,37,115,37
156,Stanford Ave at Hollis St,254,120,254,120
157,65th St at Hollis St,733,278,733,278
158,Shattuck Ave at Telegraph Ave,1249,259,1249,259
159,24th St at Market St,613,333,613,333
160,West Oakland BART Station,2166,1024,2166,1024
162,Franklin St at 9th St,1374,674,1374,674
163,Lake Merritt BART Station,3354,1826,3354,1826
164,Isabella St at San Pablo Ave,505,72,505,72
166,College Ave at Alcatraz Ave,342,206,342,206
